Player,Goals,Assists,Minutes,Position,Rating,Shots on target,Shots off target,Shots blocked,Dribbles,Successful dribbles,Notes (Attacking),Clearances,Blocked shots,Interceptions,Tackles,Dribbled Past,Notes (Defending),Touches,Accurate Passes,Tot. Passes,Pass accuracy,Key passes,Crosses,Successful crosses,Long balls,Successful long balls,Notes (Passing),Ground Duels,Ground Duels won,Aerial Duels,Aerial Duels won,Dispossessions,Fouled,Fouls,Offside,Saves,Punches,Run-outs,Successful run-outs,High claims,Notes (Goalkeeping)
Jens Jønsson,0,0,56',M,6.4,0,0,0,0,0,-,0,0,0,0,0,-,15,8,12 ,67,0,0,0,1,1,-,2,1,1,1,6,1,0,0,-,-,-,-,-,-
Jorge Pombo,0,0,16',M,6.4,0,1,0,1,0,-,0,0,0,0,0,-,11,5,6 ,83,0,0,0,0,0,-,3,1,1,0,4,1,1,0,-,-,-,-,-,-
Carlos Clerc,0,0,28',D,6.3,0,0,0,1,0,-,0,0,0,0,0,-,22,12,13 ,92,0,1,0,1,0,-,4,1,0,0,4,1,1,0,-,-,-,-,-,-
Dani Cárdenas,0,0,90',G,6.2,0,0,0,0,0,-,1,0,0,0,0,-,25,16,18 ,89,0,0,0,6,4,-,0,0,0,0,2,0,0,0,0,0,3,3,0,-
Jorge de Frutos,0,0,90',M,5.8,0,1,0,2,1,-,0,0,0,1,3,-,49,19,26 ,73,0,9,0,2,2,-,11,2,1,0,23,0,3,0,-,-,-,-,-,-
Iago Aspas,1,1,90',F,7.9,2,2,0,0,0,-,0,0,0,0,0,-,36,27,29 ,93,1,1,1,0,0,-,2,0,1,1,4,0,1,0,-,-,-,-,-,-
Nabil Fekir,1,0,90',M,7.7,1,1,0,3,2,-,0,0,1,1,1,-,43,18,24 ,75,1,6,2,1,1,-,10,6,2,2,13,3,2,0,-,-,-,-,-,-
Brais Méndez,1,0,90',M,7.4,1,0,1,0,0,-,1,0,2,2,0,-,71,45,48 ,94,0,4,0,2,2,-,11,8,5,1,10,6,2,0,-,-,-,-,-,-
Víctor Ruiz,1,0,90',D,7.3,1,0,0,1,1,-,7,0,1,0,0,-,35,23,25 ,92,0,0,0,1,1,-,1,1,5,4,2,0,0,0,-,-,-,-,-,-
Denis Suárez,0,0,90',M,7.2,0,0,0,2,1,-,3,0,0,2,2,-,90,59,66 ,89,2,11,3,2,2,-,11,6,1,0,17,3,2,0,-,-,-,-,-,-
Fran Beltrán,0,0,82',M,7.2,0,1,0,2,2,-,0,0,0,3,1,-,62,51,53 ,96,0,0,0,5,5,-,7,6,0,0,2,1,0,0,-,-,-,-,-,-
Borja Iglesias,1,0,82',F,7.1,1,1,0,1,1,-,0,0,0,0,1,-,24,13,13 ,100,0,0,0,0,0,-,7,4,3,1,5,3,1,0,-,-,-,-,-,-
Santi Mina,0,0,90',F,7.0,0,0,0,2,0,Penalty won: 1,2,0,1,1,0,-,29,14,18 ,78,2,1,1,0,0,-,7,3,8,2,7,2,2,1,-,-,-,-,-,-
Emerson Royal,0,0,90',D,6.9,0,0,0,0,0,Penalty won: 1,2,1,0,3,0,-,56,19,23 ,83,1,2,0,2,1,-,14,8,1,1,11,5,2,0,-,-,-,-,-,-
Guido Rodríguez,0,0,90',M,6.9,0,1,0,1,0,-,3,0,3,0,0,-,43,25,33 ,76,1,0,0,6,4,-,2,1,4,3,9,1,0,0,-,-,-,-,-,-
Marc Bartra,0,1,90',D,6.9,0,0,0,0,0,-,7,0,1,2,0,Penalty committed: 1,42,20,28 ,71,1,0,0,8,4,Big chances created: 1,5,3,5,4,10,1,2,0,-,-,-,-,-,-
Augusto Solari,0,0,32',M,6.7,0,0,0,0,0,-,0,0,0,3,0,-,22,9,10 ,90,0,2,1,0,0,-,5,4,0,0,5,1,0,0,-,-,-,-,-,-
Juan Miranda,0,0,45',D,6.6,1,0,0,0,0,-,1,1,0,1,0,-,18,4,8 ,50,0,2,0,4,1,-,4,2,3,0,6,1,2,0,-,-,-,-,-,-
William Carvalho,0,0,24',M,6.6,0,0,0,0,0,-,1,0,0,0,0,-,6,4,5 ,80,0,0,0,0,0,-,0,0,2,2,1,0,0,0,-,-,-,-,-,-
Aitor Ruibal,0,0,45',M,6.5,1,1,0,0,0,-,0,0,0,0,2,-,16,5,7 ,71,0,0,0,0,0,-,5,1,0,0,6,1,2,1,-,-,-,-,-,-
Álex Moreno,0,0,45',D,6.5,0,0,0,0,0,-,1,0,2,1,0,-,16,5,8 ,63,0,0,0,1,1,-,3,1,1,0,4,0,2,0,-,-,-,-,-,-
Andrés Guardado,0,0,66',M,6.5,0,1,1,0,0,-,0,0,0,1,0,-,40,29,35 ,83,0,0,0,8,5,-,4,1,1,1,7,0,3,0,-,-,-,-,-,-
Diego Lainez,0,0,33',M,6.5,0,0,0,2,1,-,0,0,0,1,0,-,18,4,8 ,50,0,0,0,1,0,-,10,5,0,0,9,3,2,0,-,-,-,-,-,-
Gabriel Veiga,0,0,10',M,6.5,0,0,0,0,0,-,0,0,0,0,0,-,4,1,1 ,100,0,1,0,0,0,-,0,0,0,0,3,0,0,0,-,-,-,-,-,-
Loren Morón,0,0,8',F,6.5,0,0,0,1,0,-,0,0,0,2,0,-,9,0,2 ,0,0,0,0,0,0,-,4,2,1,0,5,0,1,0,-,-,-,-,-,-
Carlos Domínguez,0,0,90',D,6.4,1,0,0,0,0,-,6,0,0,0,0,-,67,49,58 ,84,1,0,0,7,4,-,2,0,5,2,10,0,2,0,-,-,-,-,-,-
Claudio Bravo,0,0,90',G,6.4,0,0,0,0,0,-,3,0,0,0,0,-,32,17,27 ,63,0,0,0,17,7,-,0,0,1,1,10,0,0,0,2,2,0,0,0,Saves from inside box: 2
Cristian Tello,0,0,31',F,6.3,0,0,0,2,2,-,0,0,0,0,1,-,9,3,4 ,75,1,3,1,1,0,-,4,2,1,0,3,0,1,1,-,-,-,-,-,-
Kevin Vázquez,0,0,86',D,6.3,0,0,0,3,2,-,1,0,0,0,1,-,50,25,30 ,83,0,3,1,2,2,-,9,5,3,2,10,3,2,0,-,-,-,-,-,-
Miguel Baeza,0,0,8',M,6.2,0,0,0,1,0,-,0,0,0,0,1,-,6,4,4 ,100,0,0,0,1,1,-,2,0,1,0,2,0,0,0,-,-,-,-,-,-
Rodri Sánchez,0,0,57',M,6.2,0,0,0,3,1,-,0,0,0,0,2,-,23,11,14 ,79,1,0,0,1,1,-,7,3,1,1,9,2,0,0,-,-,-,-,-,-
Néstor Araujo,0,0,90',D,6.1,0,0,0,1,1,-,2,1,1,0,2,-,66,48,59 ,81,0,0,0,6,0,-,5,3,6,3,11,2,0,0,-,-,-,-,-,-
Aarón Martín,0,0,90',D,6.0,0,2,0,3,1,-,1,0,0,0,0,-,72,38,47 ,81,0,5,0,5,2,-,9,3,1,0,17,2,4,0,-,-,-,-,-,-
Iván Villar,0,0,90',G,6.0,0,0,0,0,0,-,1,0,0,0,0,-,40,23,31 ,74,0,0,0,14,7,-,0,0,0,0,8,0,0,0,2,1,0,0,0,Saves from inside box: 1
Nolito,0,0,58',M,6.0,0,0,1,1,0,-,0,0,0,2,1,Penalty committed: 1,29,16,20 ,80,1,0,0,5,4,-,10,2,0,0,8,0,5,0,-,-,-,-,-,-
Antoine Griezmann,1,0,90',F,7.9,1,0,0,2,2,-,0,0,0,2,0,-,72,47,59 ,80,1,2,1,6,4,-,5,5,0,0,17,1,0,0,-,-,-,-,-,-
Ronald Araújo,0,0,90',D,7.9,0,0,0,1,1,-,2,3,2,2,0,-,98,76,84 ,90,0,0,0,6,4,-,4,3,7,5,9,0,1,0,-,-,-,-,-,-
Neto,0,0,90',G,7.8,0,0,0,0,0,-,2,0,0,0,0,-,55,36,43 ,84,0,0,0,14,8,-,0,0,0,0,8,0,0,0,3,2,0,0,0,Saves from inside box: 2
Bryan Gil,0,0,45',M,7.5,0,0,0,3,2,-,0,0,0,0,0,-,32,14,17 ,82,3,8,3,1,1,-,7,6,0,0,9,4,0,0,-,-,-,-,-,-
Ousmane Dembélé,0,0,90',F,7.3,1,1,1,3,2,-,0,0,0,0,0,-,48,24,30 ,80,0,5,1,1,1,-,4,2,0,0,16,0,1,1,-,-,-,-,-,-
Paulo Oliveira,0,0,76',D,7.2,0,1,0,1,0,-,4,2,2,0,0,-,28,10,13 ,77,1,0,0,6,3,-,2,1,0,0,5,1,0,0,-,-,-,-,-,-
Róber,0,0,76',D,7.2,0,0,0,0,0,-,1,0,2,2,0,-,47,18,25 ,72,2,7,3,4,2,-,5,4,2,1,15,2,0,0,-,-,-,-,-,-
Kike García,0,0,90',F,7.1,1,1,0,4,3,-,1,0,0,0,0,-,49,19,22 ,86,0,1,1,0,0,-,10,6,9,5,13,3,1,1,-,-,-,-,-,-
Frenkie de Jong,0,0,74',D,7.0,0,0,0,1,0,-,1,0,3,2,0,Error led to shot: 1,88,77,78 ,99,0,0,0,1,1,-,5,3,0,0,2,1,1,0,-,-,-,-,-,-
Óscar Mingueza,0,0,45',D,7.0,1,0,0,0,0,-,4,1,0,1,1,-,60,50,52 ,96,0,0,0,3,2,-,3,1,2,0,2,0,1,0,-,-,-,-,-,-
Papakouli Diop,0,0,62',M,6.9,0,1,0,0,0,-,0,0,2,1,1,-,25,15,17 ,88,0,0,0,4,3,-,6,2,1,1,2,1,3,0,-,-,-,-,-,-
Riqui Puig,0,0,35',M,6.9,0,0,0,0,0,-,0,0,0,1,1,-,41,33,37 ,89,2,0,0,2,2,-,4,3,0,0,5,2,0,0,-,-,-,-,-,-
Anaitz Arbilla,0,0,90',D,6.8,0,0,1,0,0,-,2,0,0,0,0,-,45,34,39 ,87,1,0,0,14,10,-,1,1,1,1,6,1,0,0,-,-,-,-,-,-
Rafa Soares,0,0,90',D,6.8,0,0,0,2,1,-,3,0,2,0,0,-,55,27,36 ,75,2,4,0,6,2,-,2,1,0,0,15,0,0,0,-,-,-,-,-,-
Sergi Enrich,0,0,77',F,6.8,1,1,3,1,1,Big chances missed: 1,0,0,0,3,2,-,35,16,19 ,84,0,0,0,0,0,-,8,5,6,2,3,1,1,0,-,-,-,-,-,-
Francisco Trincão,0,0,45',F,6.7,0,0,0,3,2,-,0,0,0,0,0,-,21,14,15 ,93,0,0,0,1,0,-,5,4,0,0,2,2,0,0,-,-,-,-,-,-
Jordi Alba,0,0,45',D,6.7,0,0,1,0,0,-,1,0,0,2,0,-,56,34,45 ,76,0,1,0,5,0,-,2,2,0,0,12,0,0,0,-,-,-,-,-,-
Miralem Pjanić,0,0,16',M,6.7,0,1,0,0,0,-,1,0,0,0,0,-,18,12,14 ,86,1,0,0,1,0,-,0,0,1,1,3,0,0,0,-,-,-,-,-,-
Samuel Umtiti,0,0,45',D,6.7,0,0,0,0,0,-,1,0,1,0,1,-,53,45,49 ,92,0,0,0,3,2,-,3,1,2,1,4,1,1,0,-,-,-,-,-,-
Takashi Inui,0,0,90',M,6.7,1,2,2,6,2,Hit woodwork: 1,0,0,3,0,1,-,54,25,30 ,83,0,1,0,3,3,-,11,3,0,0,14,1,2,0,-,-,-,-,-,-
Yoel Rodríguez,0,0,90',G,6.7,0,0,0,0,0,-,2,0,0,0,0,-,37,13,29 ,45,0,0,0,24,8,-,0,0,0,0,16,0,0,0,2,1,1,1,0,-
Ilaix Moriba,0,0,55',M,6.6,0,0,0,1,1,-,0,0,1,1,1,-,38,29,31 ,94,0,0,0,1,0,-,6,2,3,1,3,0,3,0,-,-,-,-,-,-
Martin Braithwaite,0,0,45',F,6.6,0,0,0,0,0,-,0,0,0,0,0,-,12,10,10 ,100,0,1,0,1,1,-,0,0,2,0,1,0,0,1,-,-,-,-,-,-
Pedro León,0,0,45',M,6.6,0,1,0,2,1,-,0,0,1,0,1,-,20,5,7 ,71,1,4,1,1,0,-,3,1,1,0,7,0,0,0,-,-,-,-,-,-
Quique,0,0,13',F,6.6,0,1,0,2,1,-,0,0,0,0,0,-,7,3,4 ,75,0,0,0,0,0,-,2,1,0,0,2,0,0,0,-,-,-,-,-,-
Sergio Busquets,0,0,90',M,6.6,0,0,0,0,0,-,2,1,1,2,7,-,86,62,74 ,84,1,0,0,3,2,-,15,4,2,1,13,2,4,0,-,-,-,-,-,-
Sergiño Dest,0,0,90',M,6.5,0,0,0,1,0,-,1,0,0,3,1,-,65,41,47 ,87,0,0,0,3,1,-,9,4,2,1,12,1,0,0,-,-,-,-,-,-
Junior Firpo,0,0,45',M,6.4,0,0,0,1,0,-,1,0,2,0,0,-,44,26,33 ,79,0,1,0,0,0,-,4,0,1,1,10,0,3,1,-,-,-,-,-,-
Pedro Bigas,0,0,14',D,6.4,0,0,0,0,0,-,2,0,0,0,0,-,15,10,11 ,91,0,1,0,2,1,-,0,0,1,0,2,0,0,0,-,-,-,-,-,-
Sergio Álvarez,0,0,28',M,6.4,0,0,0,1,1,-,1,0,0,0,0,-,18,11,13 ,85,0,0,0,2,1,-,4,2,0,0,3,1,1,0,-,-,-,-,-,-
Alejandro Pozo,0,0,14',M,6.3,0,0,0,0,0,-,0,0,0,0,0,-,12,4,7 ,57,0,0,0,0,0,-,0,0,0,0,5,0,0,0,-,-,-,-,-,-
Miguel Atienza,0,0,90',M,6.3,0,0,0,0,0,-,0,0,0,2,3,-,33,21,29 ,72,0,0,0,1,0,-,8,2,1,1,8,0,3,0,-,-,-,-,-,-
Lucas Boyé,1,1,89',F,7.8,1,2,0,4,3,Big chances missed: 1,1,0,1,3,2,-,56,23,29 ,79,2,0,0,1,1,-,14,6,5,1,17,0,3,1,-,-,-,-,-,-
Fidel,0,0,90',D,7.6,0,0,0,3,3,-,1,0,0,2,1,-,88,42,51 ,82,1,10,3,3,2,-,8,5,1,0,21,0,2,0,-,-,-,-,-,-
Pere Milla,0,1,90',F,7.3,0,1,0,0,0,-,0,0,1,1,1,-,44,18,28 ,64,1,2,1,1,1,Big chances created: 1,7,1,6,5,18,0,1,0,-,-,-,-,-,-
Gonzalo Verdú,0,0,65',D,7.2,0,0,0,0,0,-,1,0,1,1,0,-,40,34,35 ,97,1,0,0,5,5,-,1,1,2,2,1,0,0,0,-,-,-,-,-,-
Paulo Gazzaniga,0,0,90',G,7.2,0,0,0,0,0,-,0,0,0,0,0,-,37,14,31 ,45,0,0,0,24,7,-,0,0,0,0,17,0,0,0,2,0,0,0,0,Saves from inside box: 1
Raúl Guti,1,0,90',M,7.2,1,0,0,1,0,-,1,0,1,1,0,-,59,37,42 ,88,1,2,1,9,7,-,6,2,1,0,12,1,0,0,-,-,-,-,-,-
Johan Mojica,0,0,15',D,7.1,0,0,0,0,0,-,1,0,0,1,0,-,15,5,8 ,63,1,3,1,1,0,Big chances created: 1,1,1,1,1,5,0,0,0,-,-,-,-,-,-
Unai López,0,0,90',M,7.1,0,0,0,1,1,-,1,0,1,2,2,-,67,50,55 ,91,1,1,0,9,7,-,5,3,0,0,7,0,0,0,-,-,-,-,-,-
Dani Calvo,0,0,90',D,7.0,0,0,0,0,0,-,4,0,1,0,0,-,50,36,42 ,86,0,0,0,7,3,-,1,1,1,0,6,1,0,0,-,-,-,-,-,-
Pablo Piatti,0,0,65',M,7.0,1,0,0,1,1,-,0,0,0,4,2,-,29,13,13 ,100,0,3,0,0,0,-,10,6,1,0,6,1,2,1,-,-,-,-,-,-
Antonio Barragán,0,0,90',D,6.9,0,0,0,0,0,-,2,0,0,1,0,-,35,25,30 ,83,0,0,0,5,2,-,2,1,2,1,5,0,1,0,-,-,-,-,-,-
Josan,0,0,75',D,6.9,0,0,0,1,1,-,1,0,1,1,1,-,39,23,26 ,88,1,3,0,1,0,-,5,4,0,0,6,2,0,0,-,-,-,-,-,-
Omenuke Mfulu,0,0,75',M,6.9,0,2,0,0,0,-,1,0,2,2,2,-,36,22,26 ,85,0,0,0,2,2,-,6,3,2,2,6,1,1,0,-,-,-,-,-,-
Unai Núñez,0,0,90',D,6.9,0,1,0,0,0,-,6,0,1,2,0,-,67,48,54 ,89,0,0,0,8,6,-,3,2,6,4,7,0,0,0,-,-,-,-,-,-
Yeray Álvarez,0,0,90',D,6.9,0,0,0,0,0,-,1,0,1,1,0,-,75,59,69 ,86,0,0,0,16,12,-,3,3,5,3,10,2,0,1,-,-,-,-,-,-
Ibai Gómez,0,0,72',M,6.8,0,2,0,2,2,-,0,0,0,0,1,-,23,13,14 ,93,1,3,1,0,0,-,3,2,0,0,5,0,0,0,-,-,-,-,-,-
Josema,0,0,25',D,6.8,0,0,0,0,0,-,4,0,0,1,0,-,13,6,6 ,100,0,0,0,1,1,-,1,1,0,0,0,0,0,0,-,-,-,-,-,-
Unai Vencedor,0,0,33',M,6.8,0,0,0,0,0,-,0,0,1,3,2,-,49,31,39 ,79,0,1,0,7,3,-,7,4,2,1,11,1,1,0,-,-,-,-,-,-
Asier Villalibre,0,0,90',F,6.7,0,3,0,0,0,-,0,0,0,0,0,-,30,11,20 ,55,0,2,0,0,0,-,3,1,3,1,14,1,0,0,-,-,-,-,-,-
Helibelton Palacios,0,0,15',D,6.7,0,0,0,0,0,-,0,0,0,1,0,-,14,10,11 ,91,0,0,0,1,1,-,1,1,0,0,2,0,0,0,-,-,-,-,-,-
Iñigo Vicente,0,0,18',F,6.7,0,0,0,0,0,-,0,0,0,0,0,-,15,11,15 ,73,1,0,0,2,1,-,0,0,0,0,4,0,0,0,-,-,-,-,-,-
Óscar de Marcos,0,0,11',D,6.7,0,0,0,0,0,-,0,0,0,0,0,-,14,11,13 ,85,0,0,0,1,1,-,0,0,1,1,2,0,0,0,-,-,-,-,-,-
Iván Marcone,0,0,25',M,6.6,0,0,0,0,0,-,3,0,1,0,1,-,19,14,15 ,93,0,0,0,2,1,-,1,0,0,0,1,0,0,0,-,-,-,-,-,-
Oihan Sancet,0,0,57',F,6.6,0,0,0,0,0,-,0,0,0,2,0,-,23,11,16 ,69,1,0,0,0,0,-,5,2,0,0,8,0,1,0,-,-,-,-,-,-
Álex Berenguer,0,0,90',M,6.5,1,0,0,3,3,-,0,0,1,0,1,-,55,27,35 ,77,3,0,0,1,1,-,13,6,3,0,15,3,1,1,-,-,-,-,-,-
Iñaki Williams,0,0,33',F,6.5,0,0,0,0,0,-,1,0,0,0,0,-,11,1,4 ,25,1,0,0,0,0,-,2,0,0,0,7,0,0,0,-,-,-,-,-,-
Mikel Balenziaga,0,0,90',D,6.4,0,0,0,2,2,-,0,0,0,1,0,-,69,49,54 ,91,0,2,0,3,2,-,7,4,0,0,11,1,0,0,-,-,-,-,-,-
Íñigo Lekue,0,0,83',D,6.3,0,0,0,5,2,-,2,0,0,1,1,-,91,44,56 ,79,0,5,0,9,5,-,9,4,2,0,21,1,1,0,-,-,-,-,-,-
Mikel Vesga,0,0,57',M,6.3,1,0,0,0,0,-,0,0,0,0,1,-,33,20,28 ,71,0,0,0,2,0,-,4,0,2,1,10,0,2,0,-,-,-,-,-,-
Jokin Ezkieta,0,0,90',G,6.1,0,0,0,0,0,-,0,0,0,0,0,-,26,16,19 ,84,0,0,0,5,2,-,0,0,0,0,3,0,0,0,1,0,0,0,0,-
Nino,0,0,1',F,-,0,0,0,0,0,-,0,0,0,0,0,-,2,1,2 ,50,0,0,0,0,0,-,0,0,2,1,1,0,0,0,-,-,-,-,-,-
Jasper Cillessen,0,0,90',G,8.6,0,0,0,0,0,-,0,0,0,0,0,-,51,13,36 ,36,0,0,0,32,9,-,0,0,0,0,23,0,0,0,8,0,0,0,0,Saves from inside box: 4
Sandro Ramírez,0,0,90',F,7.9,4,1,2,5,3,Hit woodwork: 2,0,0,0,1,0,-,48,21,24 ,88,1,0,0,2,2,-,11,8,0,0,6,4,1,1,-,-,-,-,-,-
Álvaro Fernández,0,0,90',G,7.7,0,0,1,0,0,-,0,0,0,0,1,-,36,17,23 ,74,0,0,0,14,8,-,1,0,1,1,6,1,0,0,4,0,0,0,0,Saves from inside box: 1
Kang-in Lee,0,0,80',F,7.6,2,1,1,6,5,-,0,0,0,1,2,-,49,28,31 ,90,2,0,0,6,5,-,13,9,1,0,6,3,0,0,-,-,-,-,-,-
Jorge Pulido,0,0,90',D,7.5,0,0,0,2,2,-,1,1,3,1,1,-,59,40,44 ,91,0,1,0,4,2,-,6,4,2,1,6,1,0,0,-,-,-,-,-,-
Rafa Mir,0,0,90',F,7.4,2,2,0,1,1,-,0,1,1,2,0,-,22,4,8 ,50,0,2,0,0,0,-,5,3,9,4,7,0,2,3,-,-,-,-,-,-
Gabriel Paulista,0,0,90',D,7.3,0,1,0,0,0,-,5,1,0,0,0,-,49,37,41 ,90,0,0,0,5,4,-,0,0,5,4,5,0,0,0,-,-,-,-,-,-
Gonçalo Guedes,0,0,77',F,7.3,1,0,0,3,3,-,0,0,1,0,1,-,47,27,35 ,77,4,0,0,4,2,-,10,7,1,1,11,4,2,0,-,-,-,-,-,-
Sergio Gómez,0,0,90',M,7.3,0,2,0,2,1,-,0,0,1,3,2,-,76,36,39 ,92,3,12,2,2,1,-,10,6,0,0,17,2,1,0,-,-,-,-,-,-
Mikel Rico,0,0,69',M,7.2,1,0,0,1,1,-,1,0,0,1,0,-,34,20,24 ,83,2,1,1,1,1,-,2,2,1,0,5,0,0,1,-,-,-,-,-,-
Carlos Soler,0,0,90',M,7.0,0,0,1,2,1,-,1,0,0,1,0,-,38,26,28 ,93,2,3,2,2,0,-,4,3,0,0,4,1,0,0,-,-,-,-,-,-
David Ferreiro,0,0,85',M,7.0,0,0,0,2,1,-,0,0,1,1,3,-,44,22,24 ,92,5,10,2,1,1,-,10,3,1,0,13,1,3,0,-,-,-,-,-,-
Dimitrios Siovas,0,0,90',D,7.0,0,1,1,0,0,-,0,1,1,0,1,-,56,40,51 ,78,2,0,0,4,1,-,4,0,9,7,12,0,4,0,-,-,-,-,-,-
Jaime Seoane,0,0,85',M,7.0,1,1,1,0,0,-,1,0,0,2,2,-,51,34,40 ,85,1,2,1,9,6,-,8,3,2,1,8,1,3,0,-,-,-,-,-,-
Mouctar Diakhaby,0,0,90',D,7.0,0,1,0,0,0,-,4,1,2,0,1,-,48,30,38 ,79,0,0,0,10,5,-,2,0,5,2,8,0,1,0,-,-,-,-,-,-
Maximiliano Gómez,0,0,80',F,6.9,1,0,1,0,0,-,3,0,0,0,0,-,20,11,13 ,85,1,0,0,0,0,-,1,1,5,2,3,1,1,0,-,-,-,-,-,-
Uroš Račić,0,0,90',M,6.9,0,0,1,1,0,-,4,2,0,4,3,-,45,22,28 ,79,0,0,0,3,2,-,11,5,4,2,9,1,2,0,-,-,-,-,-,-
Borja García,0,0,11',M,6.8,0,0,2,0,0,-,0,0,1,0,0,-,13,5,8 ,63,0,0,0,0,0,-,0,0,1,1,4,0,0,0,-,-,-,-,-,-
Idrissa Doumbia,0,0,21',M,6.8,0,0,0,0,0,-,0,0,0,1,0,-,24,20,22 ,91,0,0,0,3,2,-,1,1,0,0,2,0,0,0,-,-,-,-,-,-
Gastón Silva,0,0,21',D,6.7,0,0,0,0,0,-,0,1,0,0,0,-,18,14,16 ,88,0,0,0,2,1,-,0,0,1,1,3,0,0,0,-,-,-,-,-,-
Toni Lato,0,0,90',M,6.7,0,0,0,2,0,-,3,0,0,5,1,-,58,26,32 ,81,0,0,0,6,2,-,10,5,1,0,11,0,2,0,-,-,-,-,-,-
Denis Cheryshev,0,0,13',M,6.6,0,0,0,0,0,-,1,0,0,0,0,-,7,2,2 ,100,1,1,1,0,0,-,1,0,1,0,1,0,1,2,-,-,-,-,-,-
Hugo Guillamón,0,0,89',D,6.6,0,0,0,0,0,-,9,0,0,0,2,-,49,30,35 ,86,0,0,0,2,1,-,7,4,5,2,6,4,1,0,-,-,-,-,-,-
Manu Vallejo,0,0,10',F,6.6,0,0,0,1,1,-,0,0,0,0,0,-,5,1,2 ,50,0,0,0,0,0,-,1,1,2,0,3,0,0,0,-,-,-,-,-,-
Pedro López,0,0,16',D,6.6,0,0,0,0,0,-,0,0,0,0,0,-,20,13,14 ,93,0,2,0,2,2,-,0,0,1,1,3,0,0,0,-,-,-,-,-,-
Shinji Okazaki,0,0,11',F,6.5,0,0,0,0,0,-,0,0,0,0,0,-,2,1,2 ,50,0,0,0,0,0,-,0,0,1,0,1,0,0,0,-,-,-,-,-,-
Denis Vavro,0,0,69',D,6.4,0,1,0,0,0,-,0,0,0,1,0,-,33,23,31 ,74,0,0,0,9,2,-,4,1,2,0,8,0,3,0,-,-,-,-,-,-
Pablo Maffeo,0,0,74',M,6.4,0,0,0,2,1,-,0,0,1,0,1,-,53,14,21 ,67,1,10,0,4,0,-,10,4,1,1,24,3,0,0,-,-,-,-,-,-
Thierry Correia,0,0,90',M,6.3,0,0,0,3,1,-,2,0,1,0,0,-,67,28,39 ,72,0,1,0,6,2,-,9,2,0,0,21,1,4,0,-,-,-,-,-,-
Yunus Musah,0,0,10',M,6.3,0,0,0,1,0,-,0,0,0,0,0,-,7,1,2 ,50,0,0,0,0,0,-,2,0,1,0,4,0,1,0,-,-,-,-,-,-
Eliaquim Mangala,0,0,1',D,-,0,0,0,0,0,-,1,2,0,0,0,-,6,0,0,-,0,0,0,0,0,-,1,0,1,1,1,0,0,0,-,-,-,-,-,-
